대상	대분류	중분류	소분류	건수
TRUE	기술용역	설계	토목설계용역	296702
TRUE	기술용역	설계	건축설계용역	251505
FALSE	기술용역	설계	안전진단용역	91357
TRUE	기술용역	설계	상하수도설계용역	74945
TRUE	기술용역	설계	전기설계용역	59631
FALSE	기술용역	설계	조경설계용역	54325
FALSE	기술용역	설계	도시계획용역	35764
FALSE	기술용역	설계	환경영향평가용역	26701
FALSE	기술용역	설계	국가유산기술용역	12941
FALSE	기술용역	설계	소방설계용역	7844
TRUE	기술용역	설계	교통설계용역	7843
TRUE	기술용역	설계	정보통신설계용역	6879
FALSE	기술용역	설계	TAB(Testing, adjusting, balancing)	334
TRUE	기술용역	감리	건축감리용역	74520
TRUE	기술용역	감리	토목감리용역	56006
TRUE	기술용역	감리	전기감리용역	24536
FALSE	기술용역	감리	소방감리용역	16176
TRUE	기술용역	감리	정보통신감리용역	5942
TRUE	기술용역	CM	건축CM용역	17521
TRUE	기술용역	CM	토목CM용역	14112
TRUE	기술용역	기타	기타기술용역	521082
FALSE	기술용역	측량	측량용역	28268
FALSE	기술용역	선박	선박설계·감리용역	976
